region,year,population
Alabama,2014,4649932
Alabama,2015,4663111
Alabama,2016,4676269
Alabama,2017,4689410
Alabama,2018,4702519
Alabama,2019,4715658
Alabama,2020,4728915
Alabama,2021,4742363
Alabama,2022,4742363
Alaska,2014,724553
Alaska,2015,732544
Alaska,2016,740704
Alaska,2017,748945
Alaska,2018,757331
Alaska,2019,765831
Alaska,2020,774421
Alaska,2021,783195
Alaska,2022,783195
Arizona,2014,7315364
Arizona,2015,7495238
Arizona,2016,7679249
Arizona,2017,7867317
Arizona,2018,8059487
Arizona,2019,8255876
Arizona,2020,8456448
Arizona,2021,8661628
Arizona,2022,8661628
Arkansas,2014,2950287
Arkansas,2015,2968913
Arkansas,2016,2987368
Arkansas,2017,3005726
Arkansas,2018,3023989
Arkansas,2019,3042139
Arkansas,2020,3060219
Arkansas,2021,3078304
Arkansas,2022,3078304
California,2014,39705716
California,2015,40123232
California,2016,40541658
California,2017,40959943
California,2018,41377233
California,2019,41793201
California,2020,42206743
California,2021,42621044
California,2022,42621044
Colorado,2014,5004965
Colorado,2015,5049493
Colorado,2016,5094505
Colorado,2017,5139904
Colorado,2018,5185795
Colorado,2019,5232108
Colorado,2020,5278867
Colorado,2021,5326177
Colorado,2022,5326177
Connecticut,2014,3624896
Connecticut,2015,3635414
Connecticut,2016,3645212
Connecticut,2017,3654173
Connecticut,2018,3662364
Connecticut,2019,3669544
Connecticut,2020,3675650
Connecticut,2021,3680713
Connecticut,2022,3680713
Delaware,2014,919299
Delaware,2015,927400
Delaware,2016,935223
Delaware,2017,942751
Delaware,2018,949937
Delaware,2019,956706
Delaware,2020,963209
Delaware,2021,969362
Delaware,2022,969362
District of Columbia,2014,511233
District of Columbia,2015,506323
District of Columbia,2016,501333
District of Columbia,2017,496175
District of Columbia,2018,491009
District of Columbia,2019,485768
District of Columbia,2020,480540
District of Columbia,2021,475313
District of Columbia,2022,475313
Florida,2014,20794144
Florida,2015,21204132
Florida,2016,21624076
Florida,2017,22053899
Florida,2018,22493926
Florida,2019,22944739
Florida,2020,23406525
Florida,2021,23880431
Florida,2022,23880431
Georgia,2014,10104512
Georgia,2015,10230578
Georgia,2016,10355485
Georgia,2017,10479164
Georgia,2018,10601663
Georgia,2019,10723197
Georgia,2020,10843753
Georgia,2021,10963625
Georgia,2022,10963625
Hawaii,2014,1378731
Hawaii,2015,1385952
Hawaii,2016,1391955
Hawaii,2017,1397258
Hawaii,2018,1402403
Hawaii,2019,1407471
Hawaii,2020,1412373
Hawaii,2021,1417285
Hawaii,2022,1417285
Idaho,2014,1607559
Idaho,2015,1630045
Idaho,2016,1652489
Idaho,2017,1674865
Idaho,2018,1697103
Idaho,2019,1719239
Idaho,2020,1741333
Idaho,2021,1763458
Idaho,2022,1763458
Illinois,2014,13063852
Illinois,2015,13097218
Illinois,2016,13128924
Illinois,2017,13158664
Illinois,2018,13186604
Illinois,2019,13212633
Illinois,2020,13236720
Illinois,2021,13259305
Illinois,2022,13259305
Indiana,2014,6493780
Indiana,2015,6517631
Indiana,2016,6540916
Indiana,2017,6563494
Indiana,2018,6585386
Indiana,2019,6606554
Indiana,2020,6627008
Indiana,2021,6646851
Indiana,2022,6646851
Iowa,2014,3024770
Iowa,2015,3026380
Iowa,2016,3027058
Iowa,2017,3026831
Iowa,2018,3025631
Iowa,2019,3023507
Iowa,2020,3020496
Iowa,2021,3016578
Iowa,2022,3016578
Kansas,2014,2843856
Kansas,2015,2852690
Kansas,2016,2861120
Kansas,2017,2869179
Kansas,2018,2876728
Kansas,2019,2883852
Kansas,2020,2890566
Kansas,2021,2896901
Kansas,2022,2896901
Kentucky,2014,4335031
Kentucky,2015,4351188
Kentucky,2016,4366811
Kentucky,2017,4381907
Kentucky,2018,4396540
Kentucky,2019,4410702
Kentucky,2020,4424431
Kentucky,2021,4437842
Kentucky,2022,4437842
Louisiana,2014,4662850
Louisiana,2015,4673721
Louisiana,2016,4683885
Louisiana,2017,4693413
Louisiana,2018,4702379
Louisiana,2019,4710957
Louisiana,2020,4719160
Louisiana,2021,4727344
Louisiana,2022,4727344
Maine,2014,1383367
Maine,2015,1388878
Maine,2016,1393949
Maine,2017,1398490
Maine,2018,1402465
Maine,2019,1405839
Maine,2020,1408665
Maine,2021,1410938
Maine,2022,1410938
Maryland,2014,6148131
Maryland,2015,6208392
Maryland,2016,6268046
Maryland,2017,6326990
Maryland,2018,6384972
Maryland,2019,6441889
Maryland,2020,6497626
Maryland,2021,6552328
Maryland,2022,6552328
Massachusetts,2014,6737663
Massachusetts,2015,6758580
Massachusetts,2016,6779024
Massachusetts,2017,6799016
Massachusetts,2018,6818537
Massachusetts,2019,6837397
Massachusetts,2020,6855546
Massachusetts,2021,6873128
Massachusetts,2022,6873128
Michigan,2014,10570208
Michigan,2015,10599122
Michigan,2016,10625075
Michigan,2017,10647852
Michigan,2018,10667356
Michigan,2019,10683432
Michigan,2020,10695993
Michigan,2021,10705348
Michigan,2022,10705348
Minnesota,2014,5619270
Minnesota,2015,5668211
Minnesota,2016,5716580
Minnesota,2017,5764136
Minnesota,2018,5810811
Minnesota,2019,5856391
Minnesota,2020,5900769
Minnesota,2021,5944197
Minnesota,2022,5944197
Mississippi,2014,3006893
Mississippi,2015,3014409
Mississippi,2016,3021422
Mississippi,2017,3027943
Mississippi,2018,3033918
Mississippi,2019,3039491
Mississippi,2020,3044812
Mississippi,2021,3049912
Mississippi,2022,3049912
Missouri,2014,6041117
Missouri,2015,6069556
Missouri,2016,6097239
Missouri,2017,6124161
Missouri,2018,6150240
Missouri,2019,6175464
Missouri,2020,6199882
Missouri,2021,6223645
Missouri,2022,6223645
Montana,2014,993847
Montana,2015,999489
Montana,2016,1004798
Montana,2017,1009805
Montana,2018,1014482
Montana,2019,1018788
Montana,2020,1022735
Montana,2021,1026314
Montana,2022,1026314
Nebraska,2014,1785004
Nebraska,2015,1788508
Nebraska,2016,1791808
Nebraska,2017,1794867
Nebraska,2018,1797687
Nebraska,2019,1800270
Nebraska,2020,1802678
Nebraska,2021,1804909
Nebraska,2022,1804909
Nevada,2014,2982168
Nevada,2015,3058190
Nevada,2016,3135270
Nevada,2017,3213364
Nevada,2018,3292272
Nevada,2019,3371938
Nevada,2020,3452283
Nevada,2021,3533242
Nevada,2022,3533242
New Hampshire,2014,1442550
New Hampshire,2015,1456679
New Hampshire,2016,1470734
New Hampshire,2017,1484598
New Hampshire,2018,1498286
New Hampshire,2019,1511668
New Hampshire,2020,1524751
New Hampshire,2021,1537602
New Hampshire,2022,1537602
New Jersey,2014,9210179
New Jersey,2015,9255769
New Jersey,2016,9300045
New Jersey,2017,9342938
New Jersey,2018,9384233
New Jersey,2019,9423792
New Jersey,2020,9461635
New Jersey,2021,9498228
New Jersey,2022,9498228
New Mexico,2014,2030569
New Mexico,2015,2041539
New Mexico,2016,2051822
New Mexico,2017,2061324
New Mexico,2018,2069834
New Mexico,2019,2077546
New Mexico,2020,2084341
New Mexico,2021,2090297
New Mexico,2022,2090297
New York,2014,19531098
New York,2015,19546699
New York,2016,19559319
New York,2017,19568748
New York,2018,19574977
New York,2019,19577760
New York,2020,19576920
New York,2021,19573419
New York,2022,19573419
North Carolina,2014,9875459
North Carolina,2015,10010770
North Carolina,2016,10147434
North Carolina,2017,10285552
North Carolina,2018,10425301
North Carolina,2019,10566497
North Carolina,2020,10709289
North Carolina,2021,10853724
North Carolina,2022,10853724
North Dakota,2014,635659
North Dakota,2015,635133
North Dakota,2016,634463
North Dakota,2017,633633
North Dakota,2018,632627
North Dakota,2019,631470
North Dakota,2020,630112
North Dakota,2021,628561
North Dakota,2022,628561
Ohio,2014,11627284
Ohio,2015,11635446
Ohio,2016,11641535
Ohio,2017,11645448
Ohio,2018,11647203
Ohio,2019,11646712
Ohio,2020,11644058
Ohio,2021,11639414
Ohio,2022,11639414
Oklahoma,2014,3647370
Oklahoma,2015,3661694
Oklahoma,2016,3676116
Oklahoma,2017,3690699
Oklahoma,2018,3705437
Oklahoma,2019,3720396
Oklahoma,2020,3735690
Oklahoma,2021,3751443
Oklahoma,2022,3751443
Oregon,2014,3966347
Oregon,2015,4012924
Oregon,2016,4060467
Oregon,2017,4108966
Oregon,2018,4158539
Oregon,2019,4208983
Oregon,2020,4260393
Oregon,2021,4312897
Oregon,2022,4312897
Pennsylvania,2014,12688737
Pennsylvania,2015,12710938
Pennsylvania,2016,12731118
Pennsylvania,2017,12748977
Pennsylvania,2018,12764432
Pennsylvania,2019,12777274
Pennsylvania,2020,12787354
Pennsylvania,2021,12794939
Pennsylvania,2022,12794939
Rhode Island,2014,1135531
Rhode Island,2015,1139543
Rhode Island,2016,1143240
Rhode Island,2017,1146594
Rhode Island,2018,1149555
Rhode Island,2019,1152141
Rhode Island,2020,1154230
Rhode Island,2021,1155920
Rhode Island,2022,1155920
South Carolina,2014,4604180
South Carolina,2015,4642137
South Carolina,2016,4679441
South Carolina,2017,4716202
South Carolina,2018,4752323
South Carolina,2019,4787774
South Carolina,2020,4822577
South Carolina,2021,4856829
South Carolina,2022,4856829
South Dakota,2014,795274
South Dakota,2015,796954
South Dakota,2016,798415
South Dakota,2017,799611
South Dakota,2018,800606
South Dakota,2019,801393
South Dakota,2020,801939
South Dakota,2021,802269
South Dakota,2022,802269
Tennessee,2014,6447163
Tennessee,2015,6502017
Tennessee,2016,6557090
Tennessee,2017,6612472
Tennessee,2018,6668132
Tennessee,2019,6724207
Tennessee,2020,6780670
Tennessee,2021,6837661
Tennessee,2022,6837661
Texas,2014,26189495
Texas,2015,26585801
Texas,2016,26986249
Texas,2017,27391070
Texas,2018,27800543
Texas,2019,28215015
Texas,2020,28634896
Texas,2021,29062018
Texas,2022,29062018
United States,2014,318748017
United States,2015,321368864
United States,2016,323995528
United States,2017,326625791
United States,2018,329256465
United States,2019,331883986
United States,2020,334503458
United States,2021,337108968
United States,2022,337108968
Utah,2014,2744104
Utah,2015,2783040
Utah,2016,2822718
Utah,2017,2863188
Utah,2018,2904529
Utah,2019,2946841
Utah,2020,2990094
Utah,2021,3034569
Utah,2022,3034569
Vermont,2014,669205
Vermont,2015,673169
Vermont,2016,677025
Vermont,2017,680729
Vermont,2018,684222
Vermont,2019,687552
Vermont,2020,690686
Vermont,2021,693589
Vermont,2022,693589
Virginia,2014,8375648
Virginia,2015,8466864
Virginia,2016,8557758
Virginia,2017,8648333
Virginia,2018,8738451
Virginia,2019,8828145
Virginia,2020,8917395
Virginia,2021,9006566
Virginia,2022,9006566
Washington,2014,6862870
Washington,2015,6950610
Washington,2016,7041246
Washington,2017,7134776
Washington,2018,7231073
Washington,2019,7330188
Washington,2020,7432136
Washington,2021,7537377
Washington,2022,7537377
West Virginia,2014,1825259
West Virginia,2015,1822758
West Virginia,2016,1819567
West Virginia,2017,1815822
West Virginia,2018,1811457
West Virginia,2019,1806545
West Virginia,2020,1801112
West Virginia,2021,1795057
West Virginia,2022,1795057
Wisconsin,2014,5853861
Wisconsin,2015,5882760
Wisconsin,2016,5910327
Wisconsin,2017,5936429
Wisconsin,2018,5960925
Wisconsin,2019,5983775
Wisconsin,2020,6004954
Wisconsin,2021,6024516
Wisconsin,2022,6024516
Wyoming,2014,526758
Wyoming,2015,528005
Wyoming,2016,529053
Wyoming,2017,529846
Wyoming,2018,530409
Wyoming,2019,530784
Wyoming,2020,530948
Wyoming,2021,530925
Wyoming,2022,530925
